#id_node              x              y              z
548          -50.000000     -42.425446      -2.424979
549          -50.000000     -40.000000      -6.698730
550          -50.000000     -37.499916      -2.368659
551          -44.304717     -37.509267      -9.721493
552          -50.000000     -32.499910     -11.028917
553          -35.000000     -50.000000     -15.358984
554          -32.492807     -50.000000     -19.684958
555          -27.496421     -50.000000     -19.687045
556          -30.000000     -50.000000     -15.358984
557          -37.551733     -37.491293     -23.469068
558          -28.235625     -44.234080     -22.778497
559          -31.373952     -39.822735     -23.326392
560          -32.500000     -50.000000     -11.028857
561          -27.500000     -50.000000     -11.028857
562          -35.800776     -43.480735     -13.505052
563          -31.593318     -41.418058     -18.467085
564          -36.749042     -39.944947     -17.661647
565          -22.500000     -50.000000     -19.689111
566          -17.500000     -50.000000     -19.689111
567          -14.889936     -44.760729     -30.740242
568          -15.000000     -50.000000     -24.019238
569          -17.262872     -44.504260     -25.687927
570          -22.213063     -43.057026     -22.410199
571          -50.000000      -5.000000     -24.019238
572          -50.000000      -7.500000     -19.689111
573           -0.000000     -50.000000     -24.019238
574          -24.309981     -45.333545     -18.206632
575          -25.000000     -50.000000     -15.358984
576          -20.000000     -50.000000     -15.358984
577          -50.000000     -34.999068       1.960899
578          -50.000000     -34.980038      -6.687542
579          -50.000000     -32.498988      -2.369282
580          -50.000000     -29.999583      -6.699011
581          -40.737071     -18.319724     -29.320844
582          -50.000000     -12.500000     -19.689111
583          -50.000000     -14.999998     -15.358985
584          -50.000000     -22.498957      -2.369312
585          -50.000000     -29.999965     -15.359008
586          -50.000000     -27.499878     -11.028939
587          -50.000000     -24.999958     -15.359012
588          -50.000000     -17.500000     -11.028857
589          -50.000000     -24.999682      -6.698944
590          -50.000000     -22.499927     -11.028906
591          -50.000000     -19.999988     -15.358992
592          -44.968260     -26.499005     -17.552202
593          -45.651093     -42.784609      12.497423
594          -29.998146     -50.000000      -6.698313
595          -39.758996     -50.000000      10.599595
596          -42.489202     -50.000000       6.843683
597          -37.451140     -50.000000       6.323273
598          -43.590122     -43.291413       7.649607
599          -44.610756     -44.610756      -1.140150
600          -40.055792     -50.000000       2.056392
601          -45.434209     -39.373573       4.574579
602          -50.000000     -37.355798       6.923294
603          -50.000000     -32.500000       6.291651
604          -50.000000     -33.929069      10.058758
605          -36.808648     -30.907149     -23.140728
606          -34.964212     -29.604611     -27.934746
607          -39.192824     -21.978700     -25.662882
608          -44.593405     -18.297949     -23.875693
609          -42.972296     -23.670636     -21.899987
610          -44.369473     -19.566890     -17.628299
611          -32.498730     -50.000000      -2.369336
612          -27.499813     -50.000000      -2.368711
613          -29.999067     -50.000000       1.960985
614           -4.017169     -38.165085     -40.268225
615           -8.366643     -27.447066     -43.775547
616           -5.247440     -33.202931     -41.897746
617          -12.712951     -38.404320     -35.519107
618          -27.314434     -39.360570     -26.410669
619          -19.175097     -37.086378     -35.340512
620          -18.992121     -40.984396     -30.374357
621          -25.573633     -35.438981     -31.494010
622          -21.737977     -38.755034     -26.001586
623          -35.519351     -22.851971     -31.092947
624          -28.909103     -26.066567     -34.334148
625          -23.790499     -21.830792     -42.971571
626          -30.103231     -29.564217     -30.044340
627          -30.878296     -34.743618     -27.320649
628          -30.559676     -20.857481     -35.818392
629          -34.729378     -24.998211     -25.325707
630          -36.736811     -25.784035     -20.336085
631          -34.455007     -17.526938     -29.170846
632          -33.672211     -13.979367     -33.641333
633          -25.667155     -20.316280     -38.107856
634          -27.164600     -15.618550     -40.589449
635          -31.867018     -16.227975     -38.135032
636          -22.667241     -26.180598     -38.562574
637          -18.025650     -31.449919     -37.695200
638          -22.225943     -29.596700     -33.907863
639          -14.975392     -27.408721     -40.823369
640          -14.360356     -33.458007     -33.457984
641           -2.500000     -50.000000     -28.349365
642           -0.000000     -50.000000     -32.679492
643           -9.678333     -31.363822     -37.482847
644           -7.077200     -45.435430     -31.314477
645           -4.903957     -43.392092     -35.570661
646           -5.864648     -37.433760     -35.629206
647            8.381929     -45.201448     -39.387188
648           10.000000     -50.000000     -32.679492
649            7.500000     -50.000000     -37.009619
650            2.500000     -50.000000     -28.349365
651            5.000000     -50.000000     -32.679492
652            3.316061     -43.091636     -38.196184
653            2.579138     -44.988995     -33.006335
654            5.000000     -32.679492     -50.000000
655            2.500000     -28.349365     -50.000000
656           10.000000     -32.679492     -50.000000
657            7.500000     -28.349365     -50.000000
658            1.670721     -31.101314     -45.192890
659          -12.500000     -50.000000     -19.689111
660            7.500000     -50.000000     -28.349365
661           12.500000     -50.000000     -28.349365
