#id_node              x              y              z
518          -19.999947     -15.359015     -50.000000
519          -22.499848     -16.122658     -44.535427
520          -14.999986     -15.358992     -50.000000
521          -24.998946      -6.699338     -50.000000
522          -22.499901     -11.028914     -50.000000
523          -17.499975     -11.028871     -50.000000
524          -19.999774      -6.698860     -50.000000
525           -5.000000     -24.019238     -50.000000
526           -9.999999     -24.019238     -50.000000
527          -12.499999     -19.689111     -50.000000
528           -7.500000     -19.689111     -50.000000
529          -10.000000     -15.358984     -50.000000
530          -50.000000     -34.999979     -15.358998
531          -50.000000     -37.381830     -10.960654
532          -45.257525     -27.740002     -24.329078
533          -45.024847     -31.453900     -18.923029
534          -42.373122     -42.379951     -20.120327
535          -50.000000     -40.697774     -15.240021
536          -43.749822     -36.432369     -18.773024
537          -43.124466     -32.491904     -23.586123
538          -45.232354     -50.000000      -7.098129
539          -50.000000     -45.232354      -7.098129
540          -50.000000     -41.781410     -10.510405
541          -41.762418     -50.000000     -10.501234
542          -42.483859     -50.000000      -2.384153
543          -37.498674     -50.000000      -2.369369
544          -42.831823     -44.256883     -13.110812
545          -37.381848     -50.000000     -10.960642
546          -39.897971     -50.000000      -6.688432
547          -34.990335     -50.000000      -6.695389
548          -50.000000     -39.921623       1.917680
549          -50.000000     -42.425446      -2.424979
550          -50.000000     -40.000000      -6.698730
551          -50.000000     -37.499916      -2.368659
552          -44.304717     -37.509267      -9.721493
553          -50.000000     -32.499910     -11.028917
554          -35.000000     -50.000000     -15.358984
555          -32.492807     -50.000000     -19.684958
556          -27.496421     -50.000000     -19.687045
557          -30.000000     -50.000000     -15.358984
558          -37.551733     -37.491293     -23.469068
559          -28.235625     -44.234080     -22.778497
560          -31.373952     -39.822735     -23.326392
561          -32.500000     -50.000000     -11.028857
562          -27.500000     -50.000000     -11.028857
563          -35.800776     -43.480735     -13.505052
564          -31.593318     -41.418058     -18.467085
565          -36.749042     -39.944947     -17.661647
566          -22.500000     -50.000000     -19.689111
567          -17.500000     -50.000000     -19.689111
568          -14.889936     -44.760729     -30.740242
569          -15.000000     -50.000000     -24.019238
570          -17.262872     -44.504260     -25.687927
571          -22.213063     -43.057026     -22.410199
572          -50.000000      -5.000000     -24.019238
573          -50.000000      -7.500000     -19.689111
574           -0.000000     -50.000000     -24.019238
575          -24.309981     -45.333545     -18.206632
576          -25.000000     -50.000000     -15.358984
577          -20.000000     -50.000000     -15.358984
578          -50.000000     -34.999068       1.960899
579          -50.000000     -34.980038      -6.687542
580          -50.000000     -32.498988      -2.369282
581          -50.000000     -29.999583      -6.699011
582          -40.737071     -18.319724     -29.320844
583          -50.000000     -12.500000     -19.689111
584          -50.000000     -14.999998     -15.358985
585          -50.000000     -22.498957      -2.369312
586          -50.000000     -29.999965     -15.359008
587          -50.000000     -27.499878     -11.028939
588          -50.000000     -24.999958     -15.359012
589          -50.000000     -17.500000     -11.028857
590          -50.000000     -24.999682      -6.698944
591          -50.000000     -22.499927     -11.028906
592          -50.000000     -19.999988     -15.358992
593          -44.968260     -26.499005     -17.552202
594          -45.651093     -42.784609      12.497423
595          -29.998146     -50.000000      -6.698313
596          -39.758996     -50.000000      10.599595
597          -42.489202     -50.000000       6.843683
598          -37.451140     -50.000000       6.323273
599          -43.590122     -43.291413       7.649607
