#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04      41.9855   23.9222  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -38.1517  -35.1127  -50.0000     -0.0001      -1.0     -0.0003      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -26.5291  -46.3315  -50.0000      0.0000      -1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -39.0747   33.2974  -50.0000     -0.0000      -1.0     -0.0002      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      40.7438   25.4525  -50.0000     -0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -36.2562   20.4724  -50.0000      0.0000      -1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04       0.5528  -48.7658   50.0000      0.0000       1.0     -0.0001      0.0000     -0.0000      0.0000  sink
0       7.322257e-04      41.2959  -47.8740   50.0000      0.0000       1.0      0.0000      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      47.8945  -38.8471   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      48.7624  -32.0188   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      48.4447  -25.5329   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      20.3131   46.3357   50.0000     -0.0000       1.0     -0.0001      0.0000      0.0000      0.0000  saddle
0       7.322257e-04     -49.1754   38.9802   50.0000      0.0002       1.0      0.0000      0.0001      0.0000     -0.0001  spiral source
0       7.322257e-04     -47.4548   24.5550   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -45.8381   -5.1929   50.0000      0.0000       1.0      0.0000      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -47.8529   -8.9698   50.0000      0.0000       1.0     -0.0000      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -46.8794  -13.8799   50.0000      0.0001       1.0      0.0000      0.0000      0.0000     -0.0000  spiral source
0       7.322257e-04       5.3540  -42.4405   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -1.0924   44.4493   50.0000     -0.0000       1.0      0.0002      0.0000     -0.0000      0.0000  saddle
